c_occupation,tips_micro,tips_macro,pos_tips,count,income_26,income_max,income_45,income_slope
1.0,0.04644701839339162,0.025135146105585024,0.17287270485064402,58384,40265.22179970788,60113.965529481204,59676.551189188685,0.48208673693737447
2.0,0.006481009441765408,0.003487821604086592,0.09015921734126223,5213,38233.52259422823,76384.28601727619,67036.3193597941,0.7533388192149988
3.0,0.011666355272932196,0.009676037751676867,0.2420950218907086,6167,40954.921173352406,56735.00204100818,52003.002108614215,0.26976198753985914
5.0,0.0027701483724924952,0.0016885645408655744,0.08303498172596405,53628,39242.347724904925,43058.73889747474,41755.159358190984,0.06403316261558212
6.0,0.007752896447712807,0.010214349481188769,0.14360313315926893,383,39265.53793014745,53773.34923200101,53636.36497994751,0.3659908359173749
7.0,0.011541694482672905,0.010540534283838483,0.3081673074682512,8583,46042.79378424009,54535.010375168116,50798.57721283913,0.10329050515233695
8.0,0.012126511016125184,0.010993418956040621,0.2748302119777732,24295,26170.19840489545,35122.97538181588,34500.986133351034,0.3183310878872516
11.0,0.03167079468013869,0.017986755189126853,0.25579753338198985,672743,43545.18459433524,80131.08397830791,78182.74454509103,0.7954395020583234
12.0,0.014374006319530253,0.00780917153747097,0.10507528945947567,33338,27820.46859096212,35761.38599268995,34928.27250910771,0.25548828895192166
13.0,0.019155988398517263,0.014892836240543278,0.21478298452976707,839871,43847.70669341322,78067.06845775018,78067.06845775018,0.7804139451032537
14.0,0.011726576995636612,0.008593803994423908,0.17459781241134983,461787,33948.97029936985,48556.08710202753,48541.717422739974,0.4298435856724936
21.0,0.03166921216604221,0.015588322715153868,0.24323940662928525,98623,35718.22250985349,60663.45557241011,59429.476350700344,0.663841932064388
22.0,0.013959938636357066,0.010332605417144562,0.17183033856680907,735394,43753.021136070856,74135.14181002928,74135.14181002928,0.6944005210399242
23.0,0.014730788381931138,0.011465351582380517,0.2047663726162396,609646,44502.22822782613,79146.1648645777,77128.38629069777,0.7331353813531369
24.0,0.004998017841211656,0.002981778674000569,0.10815805694519669,936093,38246.25529159485,54625.797578811784,51962.45837970597,0.35862865484573203
25.0,0.013956212479939997,0.012818300624829915,0.5448418763760758,879312,43122.22955661474,54160.20094436764,53562.45419350198,0.24210771901718076
26.0,0.010869721038130473,0.007133795350614915,0.11910205393114016,323672,45003.21403027738,76668.1618420394,76601.06621663844,0.7021243452768191
27.0,0.01709904796017184,0.009171291233676165,0.19856165584985092,245143,40199.66664335763,55062.598693097985,53989.587282357505,0.3430356963240748
31.0,0.011738022439446274,0.009935393618298215,0.21106380901575614,286809,38799.56731058542,59331.392063183965,59063.021232583706,0.5222597911928246
32.0,0.01038934722690654,0.008830327669458743,0.3572116896761716,597724,46331.66902112116,53662.525551081235,53461.41440083651,0.15388492429368616
33.0,0.0416092511417676,0.0365039859174844,0.40863695697334435,322521,39473.264278824696,45451.14413385676,45038.10821005076,0.14097754601489365
34.0,0.022901227596400058,0.018392278943242777,0.40392120069546045,341069,50327.80051243013,62370.29773937249,62370.29773937249,0.23928121444465011
35.0,0.005042869652080327,0.0035997475070953544,0.1743057131510269,282016,27738.340833097765,32661.36709710189,31824.743592911007,0.14731965348617004
36.0,0.010963790585952723,0.008296117804000112,0.2449421871552966,154118,28858.08402147258,32782.07891829798,32697.720594962255,0.13305237349204124
39.0,0.01090169489256421,0.008203474829409502,0.22007125161237484,293046,32178.10010500393,44096.45317139856,42857.941103216384,0.3318978113487707
41.0,0.014335875975334818,0.010001889527346607,0.42274023435067926,160614,31585.20560526602,38222.5044089411,38222.5044089411,0.21013948386546155
42.0,0.013792286335114468,0.01088302218575044,0.3797647161316619,642798,23423.459611870192,25285.51032295891,24260.492344427534,0.03573480375773186
43.0,0.005368027161376394,0.00465296932580834,0.1979723363554485,385271,19676.2098791593,24931.791217424496,23862.374457279733,0.21275258821844267
44.0,0.006711347714445053,0.004916231593231877,0.3725074082221561,309116,43935.40242643563,57850.98700786437,57498.22379415155,0.3086991496305327
45.0,0.025430034918275182,0.029361914428257863,0.24066760298636705,189394,31622.140105429018,38196.87067944577,36005.67522658255,0.13862234202172008
51.0,0.010271446466607253,0.007919508908377363,0.13037637363308394,409407,36013.43011074165,50920.28678744746,49805.314328303386,0.3829650265234821
52.0,0.011924169712970705,0.00613654621014459,0.10894265145207895,245028,35025.88548382258,37242.81173404301,36364.07161048442,0.03820563301047453
53.0,0.007850284175249864,0.004508079007337709,0.12873854909653665,753434,29744.095924041707,34728.823856856536,33550.35259236441,0.1279667964372777
54.0,0.004580483296717469,0.00316487124378786,0.1478394731947462,252693,26135.468518167105,28923.50359083769,28073.9911066635,0.07417210015381603
55.0,0.006880682866455278,0.0047289197117244336,0.13684541435119457,493060,36750.46032201008,43238.611493395925,42841.4967029205,0.16574041052929234
56.0,0.011193638056901403,0.007154061059055435,0.1652618113738214,118043,29421.09888083054,36426.00222200919,36313.059003129456,0.23425230139141417
59.0,0.006269415595494526,0.005656567837018149,0.16198239515734658,302644,33416.177822068195,42628.41112880532,42484.98497289795,0.27138972024624186
61.0,0.04370539837655725,0.037038460509509256,0.2823589107810289,382329,37196.12576968419,50850.06580665873,49717.69303148213,0.3366363297976409
62.0,0.006695563992409203,0.006400995113051183,0.15642150375838837,744335,24569.97240581282,26111.3023968463,25883.659528919874,0.053467179425739086
63.0,0.0161885666593838,0.013165650195942851,0.1916526658588989,222011,22471.55781877861,26900.125306563245,26535.165168997723,0.18083336202100386
71.0,0.009042848030319151,0.008396825782392817,0.22872643617828337,243859,49667.23457363957,59593.83353407893,58576.24867514102,0.17937407181977116
72.0,0.012381218910351094,0.011429252314374081,0.3255110554860242,153408,40817.40740905432,49783.66948182727,49307.96064511448,0.20801304578146085
73.0,0.02733824805057913,0.022775204379976943,0.37891816033315506,437514,37740.22830785507,45681.588348048725,45524.76505972835,0.20626628668944869
74.0,0.003553022730137503,0.003377210108165548,0.20255852174299294,225130,29819.85448488599,36918.350713977336,36706.66900804413,0.23094728804423514
81.0,0.008304892799498368,0.006086030674750019,0.20982786731046593,382728,18982.2888011455,23861.12976160223,23137.52400397001,0.21890064187484914
82.0,0.030125402347957155,0.028625508020570192,0.39500781446521427,242499,40521.528243661174,52924.90665866884,52084.50994680411,0.2853540378243691
83.0,0.0038708869007597155,0.003456269189220107,0.1876244283023944,501795,26585.87988597879,35044.6457727884,34938.80592914008,0.3141865561337529
84.0,0.006775829813374614,0.005615176307814319,0.11624470443153369,188129,20656.88241723882,27937.393169986237,27820.70007557296,0.3468005245726582
85.0,0.00553926393635441,0.004206974868825886,0.2532251932581422,157820,16638.477787060983,22044.114520633317,20871.563777669377,0.2544154606438984
89.0,0.011682235923100992,0.010577985654700639,0.2623645395671159,339398,29367.58004247626,38748.45138152707,38748.45138152707,0.3194294976120824
